et	de	en	lt	lv
Ärge raputage ega lööge ega tekitage lööki muul viisil.	"Nicht fallen lassen, stoßen oder andersartig aufprallen lassen."	Do not drop or strike or apply other kinds of impact.	"Nemėtykite, nedaužykite ir kitaip nenaudokite jėgos."	Nemetiet un nesitiet instrumentus vai nepiemērojiet tiem cita veida triecienu.
"Ärge kasutage liugurliigendiga tange või muid tööriistu, millega võidakse rakendada liiga suurt pingutusmomenti."	Beanspruchen Sie das Drehmoment nicht mit der Kombizange oder anderem Werkzeug über.	Do not use slip joint pliers or other tools to over- apply torque.	Nedidinkite sukimo momento kombinuotomis replėmis ar kitais įrankiais.	"Neizmantojiet knaibles vai citus instrumentus, lai pieliktu pārmērīgu pievilkšanas spēku."
"Kas teate, mis põhjustab sellise rehvide kulumise, nagu näidatud pildil?"	"Kennen Sie die Gründe für den Reifenverschleiß, der in den Illustrationen dargestellt ist?"	Do you know what the causes are for the tire wear shown in the illustrations?	"Ar žinote, kas įtakoja iliustracijoje parodytą padangos devėjimasį?"	"Vai Jūs zināt, kādi ir zīmējumos attēlotā riepu nodiluma cēloņi?"
Sel viisil tegutsemine võib põhjustada terade kahjustumist.	Dies kann zu Schäden an den Klingen führen.	Doing so may cause damage to the blades.	Tai gali pažeisti geležtes.	"Ja tās izmanto šādu stiepļu griešanai, var sabojāt asmeņus."
"Uksevalgusti lüliti Kontrollige, et lamp süttib, kui uks lahti teha, ja kustub, kui kõik uksed on kinni."	"Tür-Innenschalter Inspizieren Sie die Funktion, um sicherzustellen, dass die Lichtkuppel angeht, wenn eine Tür geöffnet wird, und ausgeht, wenn alle Türen geschlossen sind."	Door Courtesy Switch Inspect the operation to make sure that the dome light comes on when a door is opened and turns off when all doors are closed.	"Vidaus apšvietimo jungiklis duryse Patikrinkite jo veikimą, kad įsitikintumėte, jog plafonas įsijungia atidarius duris ir išsijungia uždarius visas duris."	"Apgaismojuma slēdzis durvīs Pārbaudiet, vai tas darbojas, lai pārliecinātos, ka griestu lampiņa ieslēdzas, kad durvis tiek atvērtas, un izslēdzas, kad visas durvis ir aizvērtas."
Uksed (iga ukse asendi juures)	Türen (in jeder Türposition)	Doors (at each door position)	Durelės (kiekvienoje durelių padėtyje)	Durvis (katrā durvju pozīcijā)
Lohista link	Lenker ziehen	Drag link	Išilginė vairo trauklė	Stiepnis
Veorihm	Antriebsriemen	Drive Belt	Pavaros diržas	Piedziņas siksna
Veorihm	Antriebsriemen	Drive belt	Pavaros diržas	Piedziņas siksna
"Perioodilise hoolduse käigus tuleb sõiduki süsteemide kontrollimiseks, reguleerimiseks, vahetamiseks või remontimiseks teha mitmeid ülesandeid."	"Während der regelmäßigen Wartung müssen verschiedene Aufgaben zu Inspektion, Einstellung, Austausch oder Reparatur der Fahrzeugsysteme ausgeführt werden."	"During periodic maintenance several tasks need to be performed to inspect, adjust, replace or repair vehicle systems."	"Atliekant periodinę techninę priežiūrą, reikia atlikti transporto priemonės sistemos patikros, reguliavimo, keitimo arba remonto užduotis."	"Periodiskās apkopes laikā jāveic vairāki uzdevumi, lai pārbaudītu, regulētu, nomainītu vai saremontētu transportlīdzekļa sistēmas."
"Jälgige klassis toimuva koolituse jooksul, kas kõik teie küsimused said vastatud."	"Achten Sie darauf, ob Ihre Fragen während der Unterrichtsstunden beantwortet wurden."	"During the classroom training, track whether your questions have been answered."	"Per pamoką klasėje žymėkitės, ar į jūsų klausimus buvo atsakyta."	"Klases apmācību laikā pārbaudiet, vai uz Jūsu jautājumiem ir sniegtas atbildes."
Selle kursuse jooksul õpite tundma erinevat tüüpi rehve ja nende kasutusvõimalusi.	"In diesem Kurs werden Sie lernen, verschiedene Arten von Reifenverschleiß und deren Ursachen zu erkennen."	During this course you will learn to recognise the different types of tire wear and their causes.	Šiame kurse išmoksite atpažinti skirtingus padangų nusidėvėjimo tipus ir jų priežastis.	Šī kursa laikā Jūs iemācīsieties atpazīt dažāda veidu riepu nodilumu un to cēloņus.
"Testimise ajal kontrollige, kas klapi töötamise hääl muutub. 2."	"Überprüfen Sie während dieses Tests, ob der Klang bei Betrieb des Ventils sich ändert. 2."	During this test verify if the sound of operation from the valve changes. 2.	"Šio testo metu patikrinkite, ar keičiasi vožtuvo veikimo garsas. 2."	"Šīs pārbaudes laikā pārliecinieties, vai mainās vārsta darbības troksnis. 2."
nt kasutatakse katete ja ümbriste eraldamiseks	z. B. zur Trennung von Abdeckungen und Gehäusen verwendet.	e.g. Used for separation of covers and cases.	"pvz., naudojama dangčiams ir dėžėms atskirti"	"Izmanto, piemēram, pārsegu un korpusu atdalīšanai."
"Kergesti purunevad sõidukiosad tuleb katta kaitsekanga või muu kattega, enne kui neist tangidega kinni võtta."	"Empfindliche Teile sollten mit einer Schutzhülle oder eine Abdeckung bedeckt werden, bevor sie mit der Zange gegriffen werden."	"Easily damaged items should be covered with a protective cloth or other covering, before being gripped with pliers."	"Prieš sugriebiant replėmis lengviau pažeidžiamas dalis, jas reikėtų apdengti apsauginiu audiniu ar kitu apdangalu."	"Priekšmetus, ko var viegli sabojāt, pirms to satveršanas ar knaiblēm jāpārklāj ar aizsargdrānu vai citu pārsegu."
Elastsus See on materjali omadus muuta oma vormi välise jõu toimel ja taastada oma algne kuju jõu lakkamisel.	"Elastizität Dies ist die Eigenschaft einer Substanz, ihre Form aufgrund einer äußeren Krafteinwirkung zu verändern und ihre ursprüngliche Form wiederzuerlangen, wenn die Kraft gelöst wird."	Elasticity This is the property of a substance to change its form in response to an external force and recover its original form when the force is released.	"Elastingumas Tai medžiagos savybė keisti formą dėl veikiančios išorinės jėgos ir atgauti formą, kai jėga nebeveikia."	"Elastīgums Šī ir vielas spēja mainīt savu formu, reaģējot uz ārējo spēku, un atgūt savu sākotnējo formu, kad spēks vairs netiek piemērots."
Oskuste täiendamise püüdlused	"Er bemüht sich, seine Fähigkeiten zu verbessern"	Endeavours to improve skills	Stengiasi pagerinti įgūdžius	Censties uzlabot prasmes
"Tegevused, mis parandavad igapäevatööd"	"Ist bestrebt, seine tägliche Arbeit zu verbessern"	Endeavours to make improvements in daily work	Pastangos gerinti kasdienį darbą	Censties ieviest uzlabojumus ikdienas darbā
Mootorikate (eesmises asendis)	Motorhaube (vorne)	Engine hood (at the front position)	Variklio dangtis (priekinėje padėtyje)	Dzinēja pārsegs (priekšējā pozīcijā)
Mootoriõli (täitmine)	Motoröl (Verfüllung)	Engine Oil (Fill)	Variklio alyva (pildymas)	Dzinēja eļļa (uzpilde)
Mootoriõli äravoolutoru	Motorölfilter-Abfluss	Engine Oil Drain	Variklio alyvos išleidimas	Dzinēja eļļas iztecināšana
Mootoriõli äravoolutoru kork	Motoröl-Abflussschraube	Engine oil drain plug	Variklio alyvos išleidimo angos kamštis	Dzinēja eļļas iztecināšanas aizgrieznis
Mootori õlifilter	Motorölfilter	Engine oil filter	Variklio alyvos filtras	Dzinēja eļļas filtrs
"Mootoriõli filter Mootoriõli filter eemaldab mootoriõlist süsiniku-, sette- ja metalliosakesed."	"Motorölfilter Der Motorölfilter filtert Karbon, Schlamm und Metallpartikel aus dem Motoröl."	"Engine Oil Filter The engine oil filter discriminates the carbon, sludge and metal particles from the engine oil."	"Variklio alyvos filtras – variklio alyvos filtras atskiria anglį, nuosėdas ir metalo daleles nuo variklio alyvos."	"Dzinēja eļļas filtrs Dzinēja eļļas filtrs atdala oglekļa, nogulšņu un metāla daļiņas no dzinēja eļļas."
Mootoriõlil on järgmised funktsioonid:	Motoröl hat folgende Funktionen:	Engine oil has the following functions:	Variklio alyvos atliekamos funkcijos:	Dzinēja eļļai ir šādas funkcijas:
Mootoriõli tase	Motorölstand	Engine oil level	Variklio alyvos lygis	Dzinēja eļļas līmenis
Mootoriõli taseme kontrollimine	Überprüfung des Motorölstands	Engine oil level check	Variklio alyvos lygio patikra	Dzinēja eļļas līmeņa pārbaude
Mootoriõli kvaliteet	Qualität des Motoröls	Engine Oil Quality	Variklio alyvos kokybė	Dzinēja eļļas kvalitāte
Mootoriõli Top-up	Motoröl nachfüllen	Engine Oil Top-up	Variklio alyvos papildymas	Dzinēja eļļas papildināšana
"Mootoriõli viskoossus. Kui mootor peab töötama äärmiselt madalatel või kõrgetel temperatuuridel, on õli viskoossus väga tähtis kriteerium, kui valitakse õiget mootoriõli."	"Viskosität des Motoröls Da ein Motor unter extrem niedrigen und hohen Temperaturen funktionieren muss, ist die Viskosität des Öls ein sehr wichtiges Kriterium bei der Auswahl des richtigen Motoröls."	"Engine Oil Viscosity Since an engine has to operate under extreme low and high temperatures, viscosity of the oil is a very important criteria when selecting the correct engine oil."	"Variklio alyvos klampumas Variklis turi veikti ypač žemoje ir aukštoje temperatūroje, todėl alyvos klampumas yra labai svarbus kriterijus pasirenkant tinkamą variklio alyvą."	"Dzinēja eļļas viskozitāte Tā kā dzinējam ir jādarbojas ārkārtīgi zemā un ārkārtīgi augstā temperatūrā, eļļas viskozitāte ir ļoti svarīgs kritērijs pareizās dzinēja eļļas izvēlē."
Mootori ülekuumenemine	Motor überhitzt	Engine overheats	Variklio perkaitimai	Pārkarst dzinējs
Mootori suurused	Motor greift	Engine seizes	Variklio užstrigimai	Dzinējs ieķīlējas
Mõõtmistulemuste vead võivad tekkida kõrge temperatuuri või niiskuse tõttu.	Fehler bei den Messwerten können aus der Nutzung bei hoher Temperatur oder Feuchtigkeit resultieren.	Errors in measurement values may occur from use at high temperature or humidity.	Matavimo reikšmės gali būti klaidingos dėl instrumentų naudojimo esant aukštai temperatūrai ar drėgmei.	"Izmantojot instrumentus augstā temperatūrā vai lielā mitrumā, mērījumi var būt kļūdaini."
"Isegi kui mootor ei tööta, peab see järgmisel mootori käivitamisel suutma probleemideta tagada elektrivarustuse teatud aja jooksul."	"Auch wenn der Motor nicht läuft, muss er eine bestimmte Zeit lang elektrische Energie liefern können, ohne dass beim nächsten Start des Motors Probleme auftreten."	Even if the engine is not running it must be able to supply electric power for a certain time without causing problems at the next engine start.	"Net jei variklis neveikia, jis turi tam tikrą laiką tiekti elektrą, kad nekiltų problemų paleidžiant variklį kitą kartą."	"Pat ja dzinējs nedarbojas, akumulatoram jāspēj nodrošināt elektroenerģiju noteiktu laiku, neradot problēmas nākamajā dzinēja iedarbināšanas reizē."
"Näide: standardläbimõõt: 7,3 – 7,5 mm (0,287 – 0,295 tolli) Minimaalne läbimõõt: 7,3 mm (0,287 tolli) Kui mõõtmistulemus on väiksem kui 7,3 mm (0,287 tolli), tuleb polt asendada."	"Beispiel: Standarddiameter: 7,3 - 7,5 mm (0,287 - 0,295 in.) Mindestdiameter: 7,3 mm (0,287 in.) Liegt das Ergebnis der Messung unter 7,3 mm (0,287 in.), muss die Schraube ausgetauscht werden."	"Example: Standard diameter: 7.3 - 7.5 mm (0.287 - 0.295 in.) Minimum diameter: 7.3 mm (0.287 in.) If the measurement result is less than 7.3 mm (0.287 in.), the bolt must be replaced."	"Pavyzdys: standartinis skersmuo: 7,3 –7,5 mm (0,287–0,295 col.) Minimalus skersmuo: 7,3 mm (0,287 col.) Jei matavimo rezultatas mažesnis nei 7,3 mm (0,287 col.), varžtą reikia pakeisti."	"Piemērs. Standarta diametrs: 7,3 - 7,5 mm (0,287 - 0,295 in.) Minimālais diametrs: 7,3 mm (7,290 mm.) Ja mērījuma rezultāts ir mazāks par 7,3 mm (0,287 in.), skrūve ir jānomaina."
Ülemäärane lõtvus	Übermäßige Lockerung	Excessive looseness	Per didelis laisvumas	Pārmērīgs vaļīgums
Liigne klapivahe põhjustab näiteks ebatavalist müra mootorist (tõukuri heli).	Übertriebenes Ventilspiel führt zu Symptomen wie abnormalen Geräuschen des Motors (Stößel-Geräusch).	Excessive valve clearance causes symptoms such as abnormal noise from the engine (tappet noise).	"Per didelis vožtuvo tarpas sukelia tokius simptomus, kaip kad neįprastas variklio garsas (kumštelių keliamas triukšmas)."	Pārmērīga vārsta siltumatstarpe izraisa tādus simptomus kā neparasts dzinēja troksnis (izciļņu troksnis).
Ülemäärast kulumist ei ole täheldatud	Übermäßiger Verschleiß wird nicht festgestellt	Excessive wear is not noticed	Per didelis nusidėvėjimas nepastebėtas	Netiek pamanīts pārmērīgs nodilums
Osade ülemäärane kulumine	Übermäßiger Verschleiß der Bauteile	Excessive wear of components	Per didelis komponentų nusidėvėjimas	Pārmērīgs komponentu nodilums
"Kogenud tehnikud suudavad tuvastada, kas piduripedaali üldine käitumine on normaalne või mitte, kasutamata selleks joonlauda ja läbi käimata kõiki mõõdistusi ja arvutusi."	"Erfahrene Techniker können bestimmen, ob das Gesamtverhalten des Bremspedals normal ist, ohne ein Lineal zu verwenden und physisch alle Messungen und Rechnungen zu unternehmen."	"Experienced technicians can determine if the brake pedal overall behavior is normal or not, without using a ruler and physically go through all measurements and calculations."	"Patyrę technikai gali nustatyti, ar bendras stabdžių pedalo veikimas normalus, ar ne, tam nereikia naudoti liniuotės ar fiziškai atlikti visus matavimus ir skaičiavimus."	"Pieredzējuši tehniķi var noteikt, vai bremžu pedāļa gājiens atbilst standarta parametriem vai ne, neizmantojot lineālu un neveicot visus mērījumus un aprēķinus."
Lisatööriistad	Erweiterungswerkzeug	Extension Tool	Išplėtimo įrankis	Pagarinātājs
"Kirjutage julgelt üles küsimused, mis võivad uue teema sissejuhatuse lugemisel tekkida."	"Fragen, die beim Lesen des Teasertexts über das neue Thema aufkommen, können Sie gerne notieren."	Feel free to write down questions that might arise while reading the teaser about the new subject.	"Jei skaitant naujos temos pristatymą jums kiltų klausimų, nesivaržykite juos užsirašyti."	"Jūs varat brīvi pierakstīt jautājumus, kas reklāmas lasīšanas laikā varētu rasties saistībā ar jauno priekšmetu."
Täitke remondi korraldused.	Tragen Sie den Reparaturauftrag ein.	Fill in the repair orders.	Užpildykite remonto užsakymus.	Aizpildīt remontdarbu pasūtījumus.
Teie ettevõtte finantsstabiilsus ja pikaajaline areng.	Finanzielle Stabilität und Langzeitentwicklung für Ihr Unternehmen.	Financial stability and long term development of your company.	Jūsų įmonės finansinis stabilumas ir ilgalaikė plėtra.	Tiek nodrošināta uzņēmuma finansiālā stabilitāte un ilgtermiņa attīstība.
Kõigepealt keerake mutter/polt padrunvõtmega kõvasti kinni ja seejärel kinnitage õige pöördemomendiga momentvõtmega.	Ziehen Sie zuerst die Mutter/Schraube mit einem Ratschen-Schraubenschlüssel fest und ziehen Sie sie dann im korrekten Drehmoment mit einem Drehmomentschlüssel fest.	First tighten the nut/bolt with a ratchet wrench and than tighten to the correct torque with a torque wrench.	"Pirma priveržkite veržlę / varžtą reketiniu raktu, tada dinamometriniu raktu priveržkite iki reikiamo sukimo momento."	"Vispirms pievelciet uzgriezni/skrūvi ar sprūdatslēgu un tad to pievelciet līdz pareizajam pievilkšanas momentam, izmantojot dinamometrisko atslēgu."
"Fikseerige noonius stoppkruviga, et muuta mõõtmistulemuste lugemist lihtsamaks."	"Fixieren Sie den Messschieber mit einer Anschlagschraube, um die Messablesung zu vereinfachen."	Fix the vernier with the stopper screw to make measurement reading easier.	"Slankmatį įtvirtinkite fiksavimo varžtu, kad būtų paprasčiau skaityti matavimo rodiklius."	"Nofiksējiet bīdmēru ar skrūvi, lai būtu ērtāk nolasīt mērījumu."
"Nende toimingute järgimine aitab teil teostada hoolduskontrolli kõige täielikumal, tõhusamal ja asjatundlikumal viisil."	"Folgen Sie dieser Prozedur, um eine umfassende, effiziente und hochprofessionelle Wartungsinspektion durchzuführen."	"Following this procedure will assist you in performing a maintenance inspection in a complete, efficient and highly professional way."	"Ši procedūra padės išsamiai, efektyviai ir profesionaliai atlikti techninės priežiūros patikrą."	"Šīs procedūras ievērošana Jums palīdzēs apkopes pārbaudi veikt pilnīgi, efektīvi un īpaši profesionāli."
Iga uus bensiinimootori kategooria sisaldab eelmise kategooria jõudlust.	Bei Benzinmotoren schließt jede neue Kategorie die Leistung der früheren Kategorie ein.	For gasoline engines every new category includes the performance of the earlier category.	Kiekviena naujo benzininio variklio kategorija savo našumu lenkia senesnes kategorijas.	Benzīna dzinējiem katra jauna kategorija ietver iepriekšējās kategorijas darbības parametrus.
Bensiinimootorite osas kontrollivad õlide kvaliteeti kolm organisatsiooni ja jagavad need erinevatesse kategooriatesse.	Bei Benzinmotoren testen drei Organisationseinheiten die Qualität von Ölen und teilen sie in drei verschiedene Kategorien ein.	"For gasoline engines, three organisations test the quality of oils and divide them in different categories."	Trys organizacijos tikrina benzininių variklių alyvos kokybę ir skirsto jas į įvairias kategorijas.	"Attiecībā uz benzīna dzinējiem eļļu kvalitāti pārbauda trīs organizācijas, kas iedala tās dažādās kategorijās."
Kui käigukastil/ülekandeseadmel ei ole täiteava:	Für Achsgetriebe/Getriebe ohne Einfüllstutzen:	For transaxles/transmissions without a filler plug:	Varančiojo tilto su transmisija / transmisijos be įpylimo angos kamščio:	Transmisijām bez iepildes aizgriežņiem:
"Vedeliku külmumispunkt Kui vedelik on ainult vesi, siis pesuvedelik külmub, kui õhutemperatuur langeb alla 0°C."	"Gefrierpunkt der Flüssigkeit Wenn es sich bei der Flüssigkeit nur um Wasser handelt, gefriert die Scheibenwaschflüssigkeit, sobald die Lufttemperatur unter 0°C fällt."	"Freezing point of the fluid If the fluid is only water, the washer fluid freezes when the air temperature drops below 0°C."	"Skysčio užšalimo taškas Jei skystį sudaro vien vanduo, apliejiklio skystis užšąla temperatūrai nukritus žemiau 0°C."	"Šķidruma sasalšanas punkts Ja šķidrums ir tikai ūdens, skalošanas šķidrums sasalst, kad gaisa temperatūra ir zemāka par 0°C."
Esiamordi tugi	Aufprall Oberer Support	Front Shock Upper Support	Priekinio amortizatoriaus viršutinė atrama	"Priekšējais amortizators, augšējais balsts"
Kütusefilter	Kraftstofffilter	Fuel Filter	Degalų filtras	Degvielas filtrs
diiselmootori kütusefilter; kasseti tüüp	Kraftstofffilter für Dieselmotor; Typ Cartridge	Fuel filter for diesel engine; Cartridge type	Dyzelinio variklio degalų filtras; Keičiamojo filtravimo elemento tipas	Degvielas filtrs dīzeļdzinējam; patronveida
Kütusevool	Kraftstofffluss	Fuel flow	Degalų srautas	Degvielas plūsma
Kütusevool mootorisse langeb.	Kraftstofffluss zum Motor sinkt	Fuel flow to the engine decreases	Sumažėja degalų srautas į variklį	Samazinās degvielas plūsma uz dzinēju
Kütuseaur paagist ei saa imbuda	Benzindämpfe aus dem Behälter können nicht absorbiert werden	Fuel vapour from the tank can not be absorbed	Iš bako einančių degalų garų negalima sugerti	Degvielas tvaiki no tvertnes netiek absorbēti
Kütuseaurud väljuvad paagist	Benzindämpfe werden aus dem Behälter austreten	Fuel vapour will escape from the tank	Iš bako ims veržtis degalų garai	No tvertnes izplūst degvielas tvaiki
Funktsioonid ja mõõtmisvahendite kasutamine	Funktion und Anwendung der Messintrumente	Functions and usage of measuring instruments	Matavimo instrumentų paskirtys ir jų naudojimas	Mērinstrumentu funkcijas un pielietojums
Roheline = OK	Grün = OK	Green = OK	Žalia = gerai	Zaļš = OK
Käsitööriistad - kärn	Handwerkzeuge – Körner	Hand Tools – Centre Punch	Įrankiai – vidurio žymeklis	Rokas instrumenti - punktsitis
Käsitööriistad – tihendi skreeper	Handwerkzeuge - Dichtungsschaber	Hand Tools – Gasket Scraper	Įrankis – tarpiklių grandiklis	Rokas instrumenti - blīvju skrāpis
Käsitööriistad - kruvikeeraja	Handwerkzeuge – Schraubendreher	Hand Tools - Screwdriver	Įrankiai – atsuktuvas	Rokas instrumenti - Skrūvgriezis
Käsitööriistad - mutrivõtmed	Handwerkzeuge – Schraubenschlüssel	Hand Tools - Wrenches	Įrankiai – raktai	Rokas instrumenti - uzgriežņu atslēgas
Käepide	Griff	Handle	Rankena	Rokturis
Raske on vahetada käike	Schwieriges Schalten der Gänge	Hard to change gears	Sudėtinga keisti pavaras	Grūti ieslēgt pārnesumus
Pea 5.	Kopf 5.	Head 5.	Galvutė 5.	Galviņa 5.
Kuuskant	Hexagonal	Hexagonal	Šešiakampis	Sešstūra
Kuuekandiline mutter Sellist tüüpi mutrid on kõige levinumad.	Sechskantmutter Diese Art von Mutter ist die am häufigsten verwendete.	Hexagonal nut This type of nut is the most commonly used.	Šešiakampė veržlė Šio tipo veržlė yra dažniausiai naudojama.	Sešstūra uzgrieznis Šis ir visbiežāk izmantotais uzgriežņa veids.
Suure tugevusega lahenduspirn	Hochintensive Entladung der Birne	High intensity discharge bulb	Didelio intensyvumo išlydžio lempa	Augstas intensitātes izlādes spuldze
"VIHJE: Kui masin väriseb, vajutage pidurit ja proovige uuesti."	"HINWEIS: Sollten Sie ein Wackeln bemerken, drücken Sie das Bremspedal und überprüfen Sie es erneut auf Spiel."	"HINT: If wobbling is detected, use the brake pedal pressure and check it again for play."	"PATARIMAS: aptikus klibėjimą, naudokite stabdžių pedalo spaudimą, o tada dar kartą patikrinkite judėjimo laisvumą."	"PADOMS: Ja tiek konstatēta brīvkustība, nospiediet bremžu pedāli un atkārtoti pārbaudiet, vai nav brīvkustības."
Autopasun	Hupe	Horn	Garsinis signalas	Signāltaure
Sireen Kontrollige sireeni kahe kriteeriumi põhjal: Rooli pööramise ajal töötamine Sireeni heli	Hupe Überprüfen Sie die Hupe nach 2 Kriterien: Betrieb während Drehung des Lenkrads Klang der Hupe	Horn Check the horn according to 2 criteria: Operation while rotating the steering wheel Sound of the horn	Garsinis signalas Patikrinkite garsinį signalą vadovaudamiesi dviem kriterijais: Signalo veikimas sukant vairą Paspauskite garsinį signalą	Signāltaure Signāltauri pārbauda atbilstoši 2 kritērijiem: Darbība stūres pagriešanas laikā Signāltaures skaņa
kuidas	wie	how	kaip	kā
"Siiski, vasarat ja toru ei tohiks pöördejõu suurendamiseks kasutada."	"Dennoch sollte kein Hammer oder Rohr (zur Ausweitung der Welle) verwendet werden, um das Drehmoment zu erhöhen."	"However, a hammer or pipe (used to extend the shaft) to increase the torque should not be used."	Tačiau nederėtų sukimo momentą padidinti plaktuku ar vamzdžiu (naudojamu koto pailginimui).	Tomēr pieliktā spēka palielināšanai nedrīkst izmantot āmuru vai cauruli (izmantojot stieņa pagarināšanai).
I: kontrollige ja parandage või asendage kui vaja	"I: Inspektion und Korrektur oder Austausch, wo nötig"	I: Inspect and correct or replace as necessary	"I: Patikrinkite ir, jei reikia, pataisykite arba pakeiskite"	I: Pārbaudiet un vajadzības gadījumā saremontējiet vai nomainiet
"Kui standardpolt on katki, tuleb see asendada pingutuspoldiga."	"Wenn eine herkömmliche Schraube gebrochen ist, muss sie durch eine Dehnschraube ersetzt werden."	"If a standard bolt is cracked, it must be replaced with a stretch bolt."	"Jei standartinis varžtas įtrūkęs, jį reikia pakeisti elastingu varžtu."	"Ja standarta skrūve ir ieplīsusi, tā jānomaina pret stiepes skrūvi."
"Kui pidurivedelikku voolab maha või värvipinnale, loputage see kohe piduripuhastusainega maha."	"Sollte Bremsflüssigkeit auslaufen oder an der Farbe kleben bleiben, wischen Sie sie sofort mit Bremsenreiniger auf."	"If brake fluid spills or adheres to the paint, rinse it off immediately with brake cleaner."	"Jei stabdžių skystis išsilies arba užtikš ant dažų, nedelsdami jį nuskalaukite stabdžių valikliu."	"Ja bremžu šķidrums izšļakstās vai pielīp pie krāsas, nekavējoties to noskalojiet ar bremžu tīrītāju."
Kui piduripadjad ei ole välja vahetatud	Wenn Bremsklötze nicht ausgetauscht werden	If brake pads are not replaced	Nepakeitus stabdžių trinkelių	Ja bremžu kluči netiek nomainīti
Kui mootori õlifiltrit ei vahetata	Wenn der Motorölfilter nicht ersetzt wird.	If engine oil filter is not replaced	Jei variklio alyvos filtras nepakeistas	Ja dzinēja eļļas filtrs netiek nomainīts
"Kui ei ole võimalik kontrollida rihma kogu ümbermõõtu, kontrollige rihma, pöörates võlli rihmaratast mootori pöörlemise suunas."	"Ist es nicht möglich, den gesamten Umfang des Riemens zu inspizieren, inspizieren Sie den Riemen durch Drehen der Kurbelwellen-Riemenscheibe in Richtung der Umdrehung des Motors."	"If it is not possible to inspect the entire circumference of the belt, inspect the belt by turning the crankshaft pulley in the direction of the engine rotation."	"Jei neįmanoma apžiūrėti viso diržo perimetro, diržą apžiūrėkite alkūninio veleno skriemulį pasukdami variklio sukimosi kryptimi."	"Ja nav iespējams pārbaudīt visu siksnas perimetru, siksnu pārbauda, griežot kloķvārpstas skriemeli dzinēja griešanās virzienā."
"Kui see standardsesse vahemikku ei mahu, reguleerige pedaali lõtku."	"Liegt dieses außerhalb des normalen Bereichs, stellen Sie das Pedalspiel richtig ein."	"If it is out of the standard range, adjust the pedal play."	"Jei nustatytos ribos peržengtos, reguliuokite pedalo judėjimo laisvumą."	"Ja tas neatbilst standarta vērtībām, noregulējiet pedāļa brīvgājienu."
"Kui ei, tuleb piduripadjad välja vahetada, isegi kui padjad on paksemad kui 1 mm."	"Andernfalls müssen die Klötze ausgestauscht werden, auch wenn sie dicker als 1 mm sind."	"If not, the pads have to be replaced, even if the pads are more than 1mm thick."	"Jei ne, trinkeles reikia pakeisti, nei jei jos yra storesnės nei 1 mm."	"Ja ne, kluči ir jānomaina, pat ja tie ir biezāki par 1 mm."
Kui AFT ei ole paigaldatud	Wenn AFT nicht ausgestauscht wird	If the AFT is not replaced	Jei AFT nepakeistas	Ja AFT netiek nomainīts
"Kui ATF tase on langenud, näitab see vedelikuleket, mis tähendab, et õlikorgid tuleb välja vahetada."	"Ein Sinken des ATF-Stands deutet eindeutig auf ein Leck der Flüssigkeit hin, d.h. die Dichtungen müssen ausgetauscht werden."	"If the ATF level has decreased, it indisputably indicates a fluid leak, which means the oil seals need to be replaced."	"Jei ATF lygis sumažėjęs, tai vienareikšmiškai rodo skysčių pratėjimą, o tai reiškia, kad reikia pakeisti alyvos sandariklius."	"Ja ATF līmenis ir pazeminājies, tas viennozīmīgi liecina par šķidruma noplūdi, kas nozīmē, ka ir jānomaina eļļas blīvslēgi."
"Kui klotside ja trumli vaheline lõtk on liiga väike või kui trumlil esineb astmelist või vöödilist kulumist, sisestage kruvikeeraja pidurikilbi taga olevasse hooldusavasse, et reguleerimishooba lõdvendada."	"Ist das Spiel zwischen Schuhen und Trommel zu klein oder weist die Trommel Verschleiserscheinungen auf, führen Sie einen Schraubendreher in das Serviceloch hinter der Trägerplatte ein und lösen Sie den Justierungshebel."	"If the clearance between the shoes and the drum is too small, or if the drum has stepped or streaked wear, insert a screwdriver into the service hole behind the backing plate in order to loosen the adjusting lever."	"Jei tarpas tarp stabdžių trinkelių ir būgno per mažas arba jei būgnas nusidėvėjęs pakopomis arba dryžiais, įstatykite atsuktuvą į techninės priežiūros angą, esančią už atraminės plokštės, kad atlaisvintumėte reguliavimo svirtį."	"Ja atstarpe starp lokiem un skriemeli ir pārāk maza vai ja skriemelim ir pakāpjveida vai švīku radīts nodilums, ielieciet skrūvgriezi caurumā aiz atbalsta plāksnes, lai atlaistu vaļīgāk regulējošo sviru."
"Kui jahutusvedeliku temperatuur on madal, siis selle maht suureneb."	"Ist die Temperatur des Kühlmittels niedrig, nimmt das Volumen des Kühlmittels zu."	"If the coolant temperature is low, the coolant volume will increase."	"Jei aušalo temperatūra žema, aušalo tūris padidės."	"Ja dzesēšanas šķidruma temperatūra ir zema, dzesēšanas šķidruma tilpums palielinās."
